,Location,Builder,Status,Transaction,BHK,TotalCost,CostPerSqft,Super Area (in sqft),Bathroom,Balcony,Car Parking,Furnishing,Link,BuilderLink
38,Yelahanka New Town,Concorde Antares,Under Construction Poss. by Dec '28,New Property,2,7370000,7463,988.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-988-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-New-Town-in-Bangalore&id=4d423731393733383237,https://www.magicbricks.com/concorde-antares-yelahanka-new-town-bangalore-pdpid-4d4235343138323733
39,Kengeri,VBHC Haven Of Joy,Under Construction Poss. by Sep '26,New Property,2,4200000,5785,726.0,2,0,0,Unfurnished,https://www.magicbricks.com/mana-dale-sarjapur-road-bangalore-pdpid-4d4235343137383233/prjDtId-4d42313731323737,https://www.magicbricks.com/vbhc-haven-of-joy-kengeri-bangalore-pdpid-4d4235343137373333
40,Thanisandra Main Road,Nikoo Homes IV,Under Construction Poss. by Jul '25,New Property,2,10900000,10000,1090.0,2,0,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-726-Sq-ft-Multistorey-Apartment-FOR-Sale-Kengeri-in-Bangalore&id=4d423639393831383039,https://www.magicbricks.com/nikoo-homes-iv-thanisandra-main-road-bangalore-pdpid-4d4235323939333835
41,Panathur,Orchid Bloomsberry,Under Construction Poss. by Mar '28,New Property,2,10700000,9200,1163.0,2,0,0,Unfurnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=2&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/orchid-bloomsberry-panathur-bangalore-pdpid-4d4235343137323737
42,Kadugodi,VS Sai Ashraya,Ready to Move,Resale,2,7500000,6787,1105.053779,2,0,0,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1105-Sq-ft-Multistorey-Apartment-FOR-Sale-Kadugodi-in-Bangalore&id=4d423731373436313937,https://www.magicbricks.com/vs-sai-ashraya-kadugodi-bangalore-pdpid-4d4235303335323937
43,Chandapura,Raj High Gardens,Under Construction Poss. by Dec '26,New Property,2,6970000,7223,965.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-965-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandapura-in-Bangalore&id=4d423639353532393633,https://www.magicbricks.com/raj-high-gardens-chandapura-bangalore-pdpid-4d4235333334313539
44,Whitefield,United Projects Dreamcity,Under Construction Poss. by Dec '26,New Property,2,8970000,7509,1195.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1195-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731323731383733,https://www.magicbricks.com/united-projects-dreamcity-whitefield-bangalore-pdpid-4d4235333834313339
45,Sarjapura,RRL Nature Wood,Ready to Move,New Property,2,5130000,4500,1140.0,2,0,1,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423632393932393235,https://www.magicbricks.com/rrl-nature-wood-sarjapur-bangalore-pdpid-4d4235333234333831
46,Kanakapura Road,Mantri Serenity,Ready to Move,New Property,2,9220000,8999,1025.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1025-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423639353234383939,https://www.magicbricks.com/mantri-serenity-kanakapura-road-bangalore-pdpid-4d4235303235353738
47,Varthur,SSVR Niyaara,Under Construction Poss. by Dec '28,New Property,2,11399999,9200,1240.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1240-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423731393639383339,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337
48,Jakkur,Arvind Skylands,Ready to Move,Resale,2,10500000,9545,1100.052383,2,1,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323935,https://www.magicbricks.com/arvind-skylands-jakkur-bangalore-pdpid-4d4235303934353533
