Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
412,West,Mahalakshmi Layout,43,Nandini Layout,"Traingular Park , Rajiv Gandi Nagar,",,8385.3,,
,,,,,"4th Main, Nandini Layout",,,,
413,West,Mahalakshmi Layout,43,Nandini Layout,Park Below H T Line Nandini Layout,,40946.4,,
,,,,,,Parimalanagara,,,
414,West,Mahalakshmi Layout,43,Nandini Layout,"Park at Nandini Layout 3rd Main road,",,20233.62,,
,,,,,Rajivgandhinagar,,,,
415,West,Mahalakshmi Layout,43,Nandini Layout,Nandini Circular Park,,78810.93,,
416,West,Mahalakshmi Layout,67,Nagapura,Swami Vivekananda Park,,98565.39,,
417,West,Mahalakshmi Layout,67,Nagapura,Buddashanti Park,( H.T. Line ),60515.73,,
418,West,Mahalakshmi Layout,67,Nagapura,Mahadevithayi Park,,30067.27,,
419,West,Mahalakshmi Layout,67,Nagapura,Park at Nandini Thetre Bhovi Palya,,68334.75,,
420,West,Mahalakshmi Layout,67,Nagapura,Santha Siddarooda Park,,5063.85,,
421,West,Mahalakshmi Layout,67,Nagapura,Udayakumar,Park,45563.76,,
422,West,Mahalakshmi Layout,67,Nagapura,Akkamahadevi,Park,35316.27,,
423,West,Mahalakshmi Layout,67,Nagapura,Pipeline Park Part-1 Bhovi playa,,43124.4,,
424,West,Mahalakshmi Layout,67,Nagapura,Pipeline Park Part- 2 Bhovi playa,,8330.85,,
425,West,Mahalakshmi Layout,67,Nagapura,Ushe Park,,19307.97,,
426,West,Mahalakshmi Layout,44,Marappanahalli,BNES Park,,10966.23,,
427,West,Mahalakshmi Layout,44,Marappanahalli,Marappana Palya Park,,9681.21,,
428,West,Mahalakshmi Layout,44,Marappanahalli,Shankara Nagara Part-1 Park,,50584.05,,
429,West,Mahalakshmi Layout,67,Nagapura,Sir. M. Vishhweshwaraiah Park,,42950.16,,
430,West,Mahalakshmi Layout,67,Nagapura,Mangala Krumariyamma Park Part 1,,6719.13,,
,,,,,AND,2,,,
431,West,Mahalakshmi Layout,44,Marappanahalli,Shankara Nagara Part-2 Park,,18251.64,,
432,West,Mahalakshmi Layout,44,Marappanahalli,Vijayanandanagar,Park,1862.19,,
433,West,Mahalakshmi Layout,44,Marappanahalli,"Park at 7th Main, Rajiv Gandhinagar",,9038.7,,
434,West,Rajajinagar,99,Rajajinagar,R.V. Apartment Right AND Left Side,,6446.88,,
,,,,,"Park, 9th AND 4th Cross, 14th Main",,,,
435,West,Mahalakshmi Layout,44,Marappanahalli,"Park at 8th Main, Rajiv Gandhinagar",,9909.9,,
436,West,Gandhinagar,96,Okalipuram,Arundathi Park,,44431.2,good,
437,West,Gandhinagar,96,Okalipuram,Laxman Rao Park,,10410.84,0,
438,West,Gandhinagar,77,Dattathreya Temple,W.H. Gopal Park Part- 1 and 2,,45160.83,good,
439,West,Gandhinagar,94,Gandhinagar,Chikkalalbagh Park,,85138.02,0,
440,West,Chamarajpet,140,Chamrajpet,Makkalakoota Park,,49005,Good,
441,West,Chamarajpet,140,Chamrajpet,Azad Nagar Park,,26136,good,
442,West,Chamarajpet,141,Azadnagar,Valmeekinagar Park,,22106.7,good,
443,West,Gandhinagar,94,Gandhinagar,Bhashyam Park,,73507.5,0,
444,West,Gandhinagar,94,Gandhinagar,Nehru Park,,,32800.68,GOOD
445,West,Gandhinagar,94,Gandhinagar,N. Ramu Park,,,15899.4,
446,West,Chamarajpet,136,Jagareevanram,JJ Nagar Park,,,24262.92,good
,,,,Nagar,,,,,
447,West,Chamarajpet,137,Rayapuram,"IPP Hospital Park , Rayapura",,JJ,15311.34,good
,,,,,,nagar,,,
448,West,Gandhinagar,120,Cottonpet,"Ramasharma Park, Binnimil",,,13743.18,GOOD
449,West,Gandhinagar,94,Gandhinagar,Traingular Park,behind,KiNo Thetre,2744.28,
,,,,,(Department),,,,
450,West,Gandhinagar,94,Gandhinagar,Freedom,Park,,653400,
451,West,Gandhinagar,94,Gandhinagar,Sangolli Rayanna Idle and Khoday,,,9877.23,GOOD
,,,,,Arasu Circle,,,,
452,West,Malleshwaram,64,Rajamahal,Swimming pool park 10th cross,,,14037.21,Good
453,West,Malleshwaram,66,Subramanyanagar,Milk Colony Park -2,,,56878.47,0
454,West,Malleshwaram,65,Kadumalleshwara,Gayathri Cowdaiah Memorial Hall,,,12610.62,good
,,,,,,Park,,,
455,West,Malleshwaram,65,Kadumalleshwara,Malleshwaram Railway Station Park,,,6109.29,good
456,West,Malleshwaram,66,Subramanyanagar,Sangolli Rayanna Park,,,122512.5,good
457,West,Malleshwaram,66,Subramanyanagar,Milk Colony Park -1,,,10922.67,avrage
458,West,Malleshwaram,35,Aramane Nagar,Hopcoms Society Park,,9th Cross,8548.65,Average
459,West,Malleshwaram,35,Aramane Nagar,K C Reddy Swimming Pool Park,,,785,
460,West,Malleshwaram,35,Aramane Nagar,Sankey Lake Park,,,469043.19,Good
461,West,Malleshwaram,64,Rajamahal,Guttahalli Hospital Park,,,1012.77,good
462,West,Malleshwaram,64,Rajamahal,Guttahalli Traingular Park,,,1143.45,
463,West,Malleshwaram,66,Subramanyanagar,Vyalikaval Park,,,32964.03,
464,West,Malleshwaram,64,Rajamahal,Anantha krishna rao park,,,22956.12,Good
465,West,Malleshwaram,64,Rajamahal,Dattatreya temple park,,,12251.25,Good
466,West,Malleshwaram,35,Aramane Nagar,JANATHA BAZAR PARK,,,59241.6,good
467,West,Malleshwaram,36,Mathikere,R K Garden Park near Gowri,,,6664.68,average
,,,,,Apartment,,,,
468,West,Malleshwaram,45,Malleshwaram,Park Near Yeshwantha pura Police,,,13372.92,
,,,,,Station,,,,
469,West,Malleshwaram,45,Malleshwaram,Balasubramanyam Park,,,7699.23,average
470,West,Malleshwaram,35,Aramane Nagar,EAST WEST PARK,,,19950.48,good
471,West,Malleshwaram,35,Aramane Nagar,Park Opp to M S Ramaiah Hospital,,,7742.79,Average
472,West,Malleshwaram,35,Aramane Nagar,M S Ramaiah Park AGS Layout Park,,,22629.42,
,,,,,. Matthikere,,,,
473,West,Malleshwaram,35,Aramane Nagar,kempegowda North Tower Park,,,210177,good
474,West,Malleshwaram,35,Aramane Nagar,,Low Level Park,106722,,
475,West,Malleshwaram,36,Mathikere,Park near Chandrodaya School,,32724.45,,
476,West,Malleshwaram,35,Aramane Nagar,,Island Park,8613.99,,
477,West,Chamarajpet,141,Azadnagar,Park Below Sirsi Fly Over,,5445,,
478,West,Chamarajpet,135,Padarayanapura,Cremitorium and Burial Ground Park,,35937,,
479,West,Govindaraj Nagar,125,Marenahalli,Bulleward Park Part 1 - 2,,51375.24,,
480,West,Mahalakshmi Layout,74,Shakthiganapathi,,40 VNT BRIDGE PARK,50377.14,GOOD,
,,,,nagar,,,,,
481,West,Govindaraj Nagar,127,Moodalapalya,Salumarada Thimmakka Park,9TH,6076.62,,
,,,,,,MAIN BDA LAYOUT,,,
482,West,Govindaraj Nagar,131,Nayandanahalli,BEHIND IPP HOSPITAL PARK,,4878.72,,
483,West,Govindaraj Nagar,128,Nagarabhavi,Park at,Chandragiri Residency (Ring,32931.36,,
,,,,,,Road side),,,
484,West,Mahalakshmi Layout,74,Shakthiganapathi,,Pipeline Park Part 9,32678,,
,,,,nagar,,,,,
485,West,Mahalakshmi Layout,75,Shankaramata,S V K Layout Park 3rd Cross,,3757.05,,
486,West,Mahalakshmi Layout,75,Shankaramata,S V K Layout Park 3rd Cross,,4998.51,,
487,West,Rajajinagar,101,Kamakshipalya,KHB Colony 3rd Main Road Park,,14701.5,,
488,West,Rajajinagar,101,Kamakshipalya,"KHB Colony Park , near Max Mullar",,54471.78,,
,,,,,,School,,,
489,West,Govindaraj Nagar,103,Kaveripura,Prashanthivana,Children's Play Park,0,,
,,,,,,(Triangular),,,
490,West,Govindaraj Nagar,126,Maruthi Mandira,,Ganesha Temple Park,2940,,
,,,,Ward,,,,,
491,West,Chamarajpet,139,K.R. Market,,Bhakshi Garden Park,2940,,
492,West,Gandhinagar,94,Gandhinagar,,Resaldar Street Park,17424,,
493,West,Govindaraj Nagar,105,Agrahara,Dasarahalli IPP Hospital Park,,27061.65,,
,,,,Dasarahalli,,,,,
494,West,Govindaraj Nagar,103,Kaveripura,,Sai Baba Temple Park,4791.6,,
495,West,Mahalakshmi Layout,67,Nagapura,,1st R Block Park,13612.5,,
496,West,Mahalakshmi Layout,43,Nandini Layout,Jai Maruthi Nagar Main Road Vacant,,13068,,
,,,,,,Place Part-1,and 2,,
497,West,Mahalakshmi Layout,44,Marappanahalli,Nandini Layout Ward Office Park,,12033.45,,
498,West,Mahalakshmi Layout,44,Marappanahalli,1st Main Road Ashok Puram Park,,3212.55,,
499,West,Mahalakshmi Layout,44,Marappanahalli,Ghana Thyajya & Employee Centre,,29860.38,,
,,,,,,Park,,,
500,West,Chamarajpet,138,Chalavadipalya,Anjanappa Garden Park,,10367.28,,
,,,,,,(Department),,,
501,West,Malleshwaram,35,Aramane Nagar,IDL Park,18th Cross Malleshwaram,8918.19,,
502,West,Gandhinagar,94,Gandhinagar,,Gandhinagar Park,15932.07,GOOD,
503,West,Gandhinagar,77,Dattathreya Temple,,LINK ROAD PARK,7078.5,GOOD,
504,West,Govindaraj Nagar,103,Kaveripura,BALAYYANA LAKE PARK,221611.5,GOOD,,
,,,,,NADAPRABHU KEMPEGOWDA,,,,
,,,,,PARK 1ST MAIN ROAD,,,,
505,West,Rajajinagar,108,Srirammandira ward,Dharma Naidu Park (Department),8864.46,,,
506,West,Rajajinagar,98,Prakashnagar,Sarakari Gudda Park (Department),18981.27,,,
507,West,Govindaraj Nagar,104,Govindrajnagara,CHBS Park and Play Ground,11107.08,GOOD,,
,,,,,(Traingular),,,,
508,West,Govindaraj Nagar,104,Govindrajnagara,Banashankari Temple park (police,14821.29,GOOD,,
,,,,,Quarters),6th Block,,,
509,West,Mahalakshmi Layout,67,Nagapura,Harekrishna Park 1st N Black,19536.66,good,,
,,,,,(Depatr),,,,
510,West,Mahalakshmi Layout,43,Nandini Layout,"Nandini Layout Part-4 Park , Mini",23914.44,,,
,,,,,Forest Tree Park (Department),,,,
511,West,Rajajinagar,99,Rajajinagar,04 Small Parks at 19th Main Road &,1927.83,GOOD,,
,,,,,21st Main to 29th Cross (Department),,,,
512,West,Mahalakshmi Layout,43,Nandini Layout,"Nandini Layout Part-3 Park , Mini",35131.14,GOOD,,
,,,,,Forest Tree Park (Department),,,,
513,West,Rajajinagar,101,Kamakshipalya,"KHB Colony Park , Max Mullar School",3158.1,GOOD,,
,,,,,(Department),,,,
514,West,Rajajinagar,101,Kamakshipalya,Astagrama Park (Department),4138.2,GOOD,,
515,West,Malleshwaram,35,Aramane Nagar,Palace Guttahalli Island Park Bellari,9104.04,,,
,,,,,Road,,,,
516,West,Malleshwaram,64,Rajamahal,"Maszid Park , Guttahalli (Department)",3397.68,,,
517,West,Malleshwaram,35,Aramane Nagar,"Traingular and Rectangular Park ,",39813.84,,,
,,,,,Ashwathanagar Park,(Adoption to,,,
,,,,,RVRWA),,,,
518,West,Malleshwaram,65,Kadumalleshwara,"New Market Park , Malleshwaram",17402.22,,,
519,West,Malleshwaram,65,Kadumalleshwara,Elephant Park,17402.22,,,
520,West,Mahalakshmi Layout,68,Mahalakshmipuram,Pipeline Park Part- 1,19972.26,,,
521,West,Mahalakshmi Layout,74,Shakthiganapathi,Vasavi Temple Park,12371.04,,,
,,,,nagar,,,,,
522,West,Mahalakshmi Layout,68,Mahalakshmipuram,Vasavi Park,33780.78,,,
523,West,Mahalakshmi Layout,68,Mahalakshmipuram,Pipeline Park Part- 2,12142.35,,,
524,West,Mahalakshmi Layout,68,Mahalakshmipuram,Pipeline Park Part- 3,24360.93,,,
525,West,Mahalakshmi Layout,75,Shankaramata,siddarooda park j c nagar,24360.93,,,
526,West,Mahalakshmi Layout,68,Mahalakshmipuram,Saraswathipuram Park,18894.15,,,
527,West,Mahalakshmi Layout,68,Mahalakshmipuram,Park near Srinivasa Temple,34858.89,,,
528,West,Mahalakshmi Layout,68,Mahalakshmipuram,Anjaneya Gudda Park,112765.95,,,
529,West,Mahalakshmi Layout,68,Mahalakshmipuram,Swimming Pool Park,8886.24,,,
530,West,Mahalakshmi Layout,68,Mahalakshmipuram,Anna Basavanna Park,4552.02,,,
531,West,Mahalakshmi Layout,68,Mahalakshmipuram,Athmeya Geleyara Balaga Park,7198.29,,,
532,West,Mahalakshmi Layout,74,Shakthiganapathi,SBI Colony Park,28314,,,
,,,,nagar,,,,,
533,West,Mahalakshmi Layout,74,Shakthiganapathi,Kuvempu Park,,27911.07,,
,,,,nagar,,,,,
534,West,Mahalakshmi Layout,74,Shakthiganapathi,Kamala Ganapathi Park,,39796.41,,
,,,,nagar,,,,,
535,West,Mahalakshmi Layout,75,Shankaramata,Ward Office Park,,26114.22,,
536,West,Mahalakshmi Layout,75,Shankaramata,Jai Maruthi Park,,5749.92,,
537,West,Mahalakshmi Layout,75,Shankaramata,Shambhavamurthy Park,,23740.2,,
538,West,Mahalakshmi Layout,75,Shankaramata,Pipeline Park Part- 4,,26832.96,,
539,West,Mahalakshmi Layout,75,Shankaramata,Pipeline Park Part- 5,,24774.75,,
540,West,Mahalakshmi Layout,75,Shankaramata,Pipeline Park Part- 6,,26277.57,,
541,West,Mahalakshmi Layout,75,Shankaramata,KEC Colony Park,,33247.17,,
542,West,Mahalakshmi Layout,75,Shankaramata,Kempegowda Park,,72614.52,,
543,West,Mahalakshmi Layout,75,Shankaramata,Pipeline Park Part- 7,,12773.97,,
544,West,Mahalakshmi Layout,75,Shankaramata,Pipeline Park Part- 8,,23424.39,,
545,West,Mahalakshmi Layout,102,Vrushabhavathi,Ward Office Park Vrushabhavathi,,27998.19,,
,,,,Nagar,nagar,,,,
546,South,Jayanagar,177,J.P.Nagar,"J.P.Nagar, 3rd Stage, Part-1(Ring",,7740,,
,,,,,"Road side), AnandaVana Park ,",,,,
,,,,,"J.P.Nagar, Miniforest Park Part 3 ,",,,,
,,,,,"J.P.Nagar, Miniforest Park Part- 4",,,,
547,South,Jayanagar,177,J.P.Nagar,"J.P.Nagar, 4th Stage, Dollar's Colony,",,1431,,
,,,,,2nd Cross,Park,,,
548,South,Jayanagar,177,J.P.Nagar,Maintenance of J.P Nagar 2nd Stage,,2106,,
,,,,,K.S.R.T.C Layout 5th Cross Part-1,,,,
,,,,,and 2 below,H.T.Line,Park,,
549,South,Jayanagar,177,J.P.Nagar,"Jayangar, 8th Block, Gurumurthappa",,947,,
,,,,,"Choultry Opp Park,",Laxman Rao,,,
,,,,,"Boulevard ""G""","Part park,",Laxman,,
,,,,,"Rao Boulevard ""H"" Part park,",,,,
,,,,,"Laxman Rao Boulevard ""I"" Part park",,,,
550,South,Jayanagar,177,J.P.Nagar,Laxman Rao Boulevard,"""L"" Part park,",5554,,
,,,,,"Laxman Rao Boulevard ""K""",Part,,,
,,,,,"park,","Laxman Rao Boulevard ""J"" Part",,,
,,,,,park,,,,
551,South,Jayanagar,177,J.P.Nagar,"Jayanagar, 5th Block, 11th Main",,551,,
,,,,,"Road, Ganesha Temple Opp Park",,,,
,,,,,(Childrens park),,,,
552,South,Chickpet,143,Vishweshrapuram,Sajjan Rao Circle Park,,3672,,
553,South,Chickpet,118,Sudamnagar,J.C.Road Journalist Colony next,,3219,,
,,,,,Venkatappa Park,,,,
554,South,Chickpet,143,Vishweshrapuram,PARVATHI BOULEVARD,,3486.6,,
555,South,Vijaynagar,132,Attiguppe,BCC Layout Railway Parallel Park,,469.8,,
,,,,,(Basaveshwara layout),,,,
556,South,Chickpet,119,Dharmarayaswamy,CSI COMPOUND NEXT PARK,,945,,
,,,,Temple Ward,,,,,
557,South,Vijaynagar,133,Hampinagar,SWIMMING POOL PARK,,5273.64,,
558,South,Vijaynagar,133,Hampinagar,Hopcoms,,1563,,
559,South,Vijaynagar,133,Hampinagar,Alada Mara Park,,1105.55,,
560,South,Vijaynagar,133,Hampinagar,VIJAYANAGAR BOULVARD,,1840.13,,
,,,,,S.B.I.OPP PARK,,,,
561,South,Vijaynagar,133,Hampinagar,BUNTS SANGAR OPP PARK,,1412,,
562,South,Vijaynagar,133,Hampinagar,MARTHI MEDICALL CHORD PARK,,881.5,,
563,South,Vijaynagar,133,Hampinagar,MANGO TREE PARK,,524.88,,
564,South,Vijaynagar,133,Hampinagar,M.L.A.HOUSE OPP PARK,,1091.25,,
565,South,Vijaynagar,133,Hampinagar,"RPC Layout, Ashwatha Katte (Tree",,721.35,,
,,,,,Nursery),,,,
566,South,Vijaynagar,133,Hampinagar,S.R.Travels Opp Park,,1678.94,,
567,South,Vijaynagar,132,Attiguppe,Venkateshwara Layout Park,,492.85,,
568,South,Vijaynagar,132,Attiguppe,80 feet Road Park,,1683.3,,
569,South,Vijaynagar,132,Attiguppe,Sky Line Apartment Opp Park,,2296,,
570,South,Vijaynagar,132,Attiguppe,"Chandra Layout, Ganesha Temple",,2757.37,,
,,,,,Backside Park,,,,
571,South,Vijaynagar,132,Attiguppe,Widia Layout Park,,2374.2,,
572,South,Vijaynagar,132,Attiguppe,Income tax Layout park Part-1,,2146.4,,
573,South,B.T.M Layout,152,Sudduguntepalya,VENKATESHWRA LAYOUT PARK,,0,,
574,South,Vijaynagar,132,Attiguppe,"Chandra Layout, Income Tax Layout,",,837.82,,
,,,,,Part-2,,,,
575,South,Vijaynagar,132,Attiguppe,Ward office park part-1,,1151,,
576,South,Vijaynagar,132,Attiguppe,"Binny Layout, Laughing Club",,1427.74,,
577,South,Vijaynagar,133,Hampinagar,Remco Layout Park,,3158.13,,
578,South,Chickpet,144,Siddapura,maintainence of,KHB Colony,1151,,
,,,,,Priyadarshini Park,,,,
579,South,Chickpet,142,Sunkenahalli,maintainence of Kempabudhi Lake,,28295,,
,,,,,Park,,,,
580,South,Basavanagudi,156,Srinagar,Srinagar Park,,2640.12,,
581,South,Chickpet,145,Hombegowdanagar,Rani Park Wilson Garden,,7245.92,,
582,South,Chickpet,145,Hombegowdanagar,"Homebegowda Nagar,",,1761,,
,,,,,Bhuvaneshwari Park,,,,
583,South,Chickpet,145,Hombegowdanagar,Lakkasandra Park,,898.78,,
584,South,Chickpet,145,Hombegowdanagar,Lakkasandra Swimming Pool Tree,,12000,,
,,,,,park,,,,
585,South,Basavanagudi,162,Girinagar,Pushpanjali Park,,3930,,
586,South,B.T.M Layout,147,Adugodi,Dr B R Ambedkar park kormangala,,2108,,
,,,,,8th block park,,,,
587,South,B.T.M Layout,147,Adugodi,Lakshmidevi samadhi park,,1765,,
588,South,B.T.M Layout,151,Koramangala,Carton park (eco park),,8744,,
589,South,B.T.M Layout,151,Koramangala,"1st Cross,8th main,4th block",1066,,,
,,,,,oppo.hopcoms park,,,,
590,South,B.T.M Layout,151,Koramangala,5th cross 4th block Fountain park,3658,,,
591,South,B.T.M Layout,151,Koramangala,12main 3rd block,7368,,,
592,South,B.T.M Layout,151,Koramangala,2nd A cross 17th d main,546,,,
593,South,B.T.M Layout,151,Koramangala,17th f main 6th block,826,,,
594,South,B.T.M Layout,151,Koramangala,"K H B colony,2nd cross,",492,,,
595,South,B.T.M Layout,151,Koramangala,4th cross jakkasandra block 3rd block,397,,,
596,South,B.T.M Layout,152,Sudduguntepalya,thavarekere park 2,0,,,
597,South,Jayanagar,168,Pattabhiramnagar,Lakshman rao bullevard park 5th,2895,,,
,,,,,"main,4th block",,,,
598,South,Jayanagar,168,Pattabhiramnagar,Lakshman rao bullevard O park 5th,3081,,,
,,,,,mai 4th block jayanagara,,,,
599,South,Jayanagar,168,Pattabhiramnagar,Brundavan park,7953,,,
600,South,Jayanagar,168,Pattabhiramnagar,Akkamahadevi park,4735,,,
601,South,Jayanagar,168,Pattabhiramnagar,Dr vishnuvardhan vishrathi vana 28th,6063,,,
,,,,,"main,35th b cross,4th t block",,,,
602,South,Jayanagar,168,Pattabhiramnagar,Lakshmanrao bullevard Q park,3871,,,
,,,,,jayanagara,,,,
603,South,Jayanagar,168,Pattabhiramnagar,Lakshman rao bullevard R park,2500,,,
604,South,Jayanagar,168,Pattabhiramnagar,11th B main 5th block Shakthi,0,,,
,,,,,ganapathi temple park,,,,
605,South,Jayanagar,169,Byrasandra,2nd cross byrasandra village,347,,,
606,South,Basavanagudi,154,Basavanagudi,K.G.SHAMMANNA PARK,1737.75,,,
607,South,Jayanagar,169,Byrasandra,Swimming pool park jayanagara,4886,,,
608,South,Basavanagudi,154,Basavanagudi,RAM MANDIRA PARK,748,,,
609,South,Basavanagudi,154,Basavanagudi,DATHRATREYA PARK,774,,,
610,South,Jayanagar,169,Byrasandra,"7th main,lic colony byrasandra park",522,,,
611,South,Basavanagudi,155,Hanumanthanagar,DONDUSA CHOUTRY NEXT PARK,598,,,
612,South,Jayanagar,169,Byrasandra,lic colony 2nd main 3rd cross,1661,,,
613,South,Basavanagudi,155,Hanumanthanagar,HOSPITAL NEXT PARK,746,,,
614,South,Basavanagudi,155,Hanumanthanagar,VEERABHADRA TEMPLE PARK,8500,,,
615,South,Jayanagar,170,Jayanagar East,infront of Saibaba temple park,1457,,,
616,South,Vijaynagar,132,Attiguppe,BCC LAYOUT PARK VACANT,1136.2,,,
,,,,,PLACE,,,,
617,South,Jayanagar,170,Jayanagar East,East end A main park,667,,,
618,South,Jayanagar,170,Jayanagar East,East end B park,1606,,,
619,South,Vijaynagar,132,Attiguppe,BCC LAYOUT,PARK CHIDREN,594.68,,
,,,,,PLAY GROUND & VACANT PLACE,,,,
620,South,Jayanagar,170,Jayanagar East,East end C main road,,1089,,
621,South,Vijaynagar,132,Attiguppe,80 FEET ROAD,VACANT PARK,1514.38,,
,,,,,CITIZEN CENTRE,,,,
622,South,Vijaynagar,132,Attiguppe,FREE LIDRARY AND,PARK,502.79,,
623,South,Jayanagar,170,Jayanagar East,East end D Main road park,,879,,
624,South,Jayanagar,170,Jayanagar East,NAL layout 3rd & 4thmain park,,997,,
625,South,Vijaynagar,132,Attiguppe,MARENAHALLI MAIN ROAD NEXT,,971.74,,
,,,,,CHILDREN PLAY,,,,
626,South,Jayanagar,170,Jayanagar East,jayanagar 9th t block 36th ccross,,1946,,
,,,,,childrens park,,,,
627,South,Vijaynagar,132,Attiguppe,WARD OFFICE OPP PARK PART-1,,242.27,,
628,South,Vijaynagar,132,Attiguppe,WARD OFFICE OPP PARK PART-2,,68.4,,
629,South,Vijaynagar,132,Attiguppe,WARD OFFICE OPP PARK PART-3,,199.26,,
630,South,B.T.M Layout,176,BTM Layout,BTM layout 2nd stage SFHS part 1 &,,1593,,
,,,,,"2,miniforest ,3nd 5th cross park",,,,
631,South,B.T.M Layout,176,BTM Layout,BTM layout 2nd stage SFHS part 1 &,,2,,
,,,,,"2,miniforest ,3nd 5th cross park",,,,
632,South,Vijaynagar,132,Attiguppe,WARD OFFICE OPP PARK PART-4,,74.25,,
633,South,B.T.M Layout,176,BTM Layout,KAS officers layout 37th th main,,285,,
,,,,,Road park,,,,
634,South,Vijaynagar,132,Attiguppe,CHANDRA LAYOUT VACANT,,262,,
,,,,,PLACE (MILLK DIARY),,,,
635,South,Vijaynagar,132,Attiguppe,Sky Line Park next Vacant Place,,579,,
636,South,Vijaynagar,124,Hosahalli,Pipe Line Boulevard Part-1,,571.87,,
637,South,Vijaynagar,124,Hosahalli,Pipe Line Boulevard Part-2,,401.19,,
638,South,Vijaynagar,124,Hosahalli,Pipe Line Boulevard Part-3,,1372,,
639,South,Vijaynagar,133,Hampinagar,Remco Layout childrens Park,,1189,,
640,South,Vijaynagar,133,Hampinagar,"Sulabh Toilet, RPC Layout Park",,645.43,,
641,South,Vijaynagar,133,Hampinagar,Hampinagar Tree Nursery,,524.88,,
642,South,Chickpet,118,Sudamnagar,Subbaiah Circle,,604.44,,
643,South,Chickpet,142,Sunkenahalli,Kempabudhi Half Park,,12000,,
644,South,Chickpet,143,Vishweshrapuram,Madavarao Circle Tree Park,,3165,,
645,South,Chickpet,143,Vishweshrapuram,Parvathi Boulevard Part-2,,3212,,
646,South,Chickpet,143,Vishweshrapuram,Parvathi Boulevard Part-3,,4230.6,,
647,South,Chickpet,153,Jayangar,"Kanakana Palya Park, Jayanagar,",,3265.5,,
,,,,,2nd Block Park,,,,
648,South,Chickpet,153,Jayangar,Madhavan Park,,5913,,
649,South,Chickpet,153,Jayangar,"Jayanagar, 2nd Block 7th Cross Park",825,,,
650,South,Basavanagudi,164,Vidyapeetha Ward,SriKanteshwara Park,0,,,
651,South,Vijaynagar,133,Hampinagar,BTS Depo Opp Park,1592,,,
652,South,Vijaynagar,133,Hampinagar,Hampinagar Basaveshwara Park,1095,,,
653,South,Vijaynagar,133,Hampinagar,Shravathi Nursing Home Opp park,898,,,
654,South,Vijaynagar,133,Hampinagar,Homeo Bhavana Opp Park,1308,,,
655,South,Chickpet,144,Siddapura,Siddapura circle,174,,,
656,South,Vijaynagar,124,Hosahalli,Bata Show Room Opp Park,1827,,,
657,South,Vijaynagar,124,Hosahalli,Telecom Layout Park,837.75,,,
658,South,Vijaynagar,124,Hosahalli,Sir M.Visheshwaraiah Park,2426,,,
659,South,Vijaynagar,124,Hosahalli,Hosahalli Park,1619.12,,,
660,South,Vijaynagar,133,Hampinagar,Sankasta Hara Ganapathi Temple,3328.67,,,
,,,,,Park,,,,
661,South,Vijaynagar,133,Hampinagar,Vijayanagar Food World opp park,1098,,,
662,South,Vijaynagar,133,Hampinagar,Boulevard Park Fly Worth,1200,,,
663,South,B.T.M Layout,151,Koramangala,Park Opposite to munireddy kalyana,4566,,,
,,,,,mantapa,,,,
664,South,B.T.M Layout,147,Adugodi,Audugodi police quarters kadamba,5067,,,
,,,,,park,,,,
665,South,B.T.M Layout,147,Adugodi,Police quarters near ACP Office,3433,,,
666,South,B.T.M Layout,147,Adugodi,koramangala 7th block 1st cross,889,,,
,,,,,triangular park,,,,
667,South,B.T.M Layout,147,Adugodi,Police quarters panchvati/Danvathri,1587,,,
,,,,,park,,,,
668,South,Padmanabhanagar,181,Kumaraswamy,ISRO LAYOUT 7TH MAIN PARK B/W,6357,,,
,,,,Layout,16TH & 17TH,,,,
669,South,Padmanabhanagar,181,Kumaraswamy,ISRO LAYOUT PARK,3689,,,
,,,,Layout,,,,,
670,South,Padmanabhanagar,181,Kumaraswamy,LAVA KUSHA PARK,4342,,,
,,,,Layout,,,,,
671,South,Padmanabhanagar,181,Kumaraswamy,KS LAYOUT 45TH PARK,1971,,,
,,,,Layout,,,,,
672,South,Padmanabhanagar,181,Kumaraswamy,KUMARAGIRI,33260,,,
,,,,Layout,,,,,
673,South,Padmanabhanagar,182,Padmanabhanagar,RADHAKRISHNNA 2nd stage,549,,,
674,South,Padmanabhanagar,182,Padmanabhanagar,TELECOM LAYOUT,500,,,
675,South,Padmanabhanagar,182,Padmanabhanagar,SAMDRUDHI LAYOUT,4660,,,
676,South,Padmanabhanagar,182,Padmanabhanagar,B.H.C.S.LAYOUT,3225,,,
677,South,Chickpet,119,Dharmarayaswamy,"Silver Jubile Park, Part-1&2",12816.35,,,
,,,,Temple Ward,,,,,
678,South,Chickpet,119,Dharmarayaswamy,Silver Jubile Small Park (Triangular),680,,,
,,,,Temple Ward,,,,,
679,South,Chickpet,142,Sunkenahalli,Tagoore Circle Park,,2875.5,,
680,South,Chickpet,142,Sunkenahalli,National College Fly over Park,,2877,,
681,South,Chickpet,142,Sunkenahalli,Basappa Layout Park,,643,,
682,South,Chickpet,142,Sunkenahalli,Kohinoor Field Park,,1060,,
683,South,Chickpet,142,Sunkenahalli,Sukenahalli Park,,1333,,
684,South,Chickpet,144,Siddapura,Bande Park (Arekempanahalli),,1014.85,,
685,South,Basavanagudi,155,Hanumanthanagar,Deer Park,,47491.5,,
