Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
69,Yelahanka,Byatarayanapura,9,Vidyaranyapura,Vidyaranyapura BEL Layout 6th Block,,2123,03 Good,
,,,,,4th and 6th Main park,,,,
70,Yelahanka,Byatarayanapura,9,Vidyaranyapura,Vidyaranyapura 6th Block park,,1104,02 Verygood,
,,,,,,,,,
71,Yelahanka,Byatarayanapura,9,Vidyaranyapura,Vidyaranyapura 6th Block Near Bus,,1438,02 Verygood,
,,,,,stop park,,,,
72,Yelahanka,Yelahanka,4,Yelahanka Satellite,Yelahanka Mother Dairy Boulevard,,9000,02 Very good,
,,,,town,,,,,
73,Yelahanka,Yelahanka,4,Yelahanka Satellite,10th and 11th Main,A Sector P A 4,6906,02 Verygood,
,,,,town,park in Yelahanka newtown,,,,
74,Yelahanka,Yelahanka,4,Yelahanka Satellite,6th and 7th Main B Sector,,11125,01 Excellent,
,,,,town,Basavalingappa,Park in Yelahanka,,,
,,,,,Newtown P B 2,,,,
75,Yelahanka,Yelahanka,4,Yelahanka Satellite,9th and 10th Main B Sector P B 3 in,,9803,01 Excellent,
,,,,town,Yelahanka Newtown,,,,
76,Yelahanka,Yelahanka,4,Yelahanka Satellite,22nd Cross park in Yelahanka,,669,02 Verygood,
,,,,town,Newtown P B 9,,,,
77,Yelahanka,Yelahanka,3,Attur,Park at SFS 208 3rd Cross and,4th,13422,02 Very good,
,,,,,Main P 208 9,in Yelahanka newtown,,,
78,Yelahanka,Yelahanka,3,Attur,Park at Yelahanka 4th Phase 1st,,467,03 Good,
,,,,,Cross opp to Yelahankanewtown,House No 590,C 7 in,,
79,Yelahanka,Yelahanka,3,Attur,Park at 4th phase Behind to Mirindaa,,3570,02 Verygood,
,,,,,school,in Yelahanka newtown,,,
80,Yelahanka,Yelahanka,3,Attur,Near Sabhram Collage,in Sai Garden,1350,,
,,,,,Laout park No 1,,,,
81,Yelahanka,Yelahanka,3,Attur,Near Sabhram Collage,in Sai Garden,675,,
,,,,,Laout park No 2,,,,
82,Yelahanka,Yelahanka,3,Attur,Near Sabhram Collage,in Sai Garden,675,,
,,,,,Laout park No 3,,,,
83,Yelahanka,Yelahanka,3,Attur,Near Sabhram Collage,in Sai Garden,0,,
,,,,,Laout park No 4,,,,
84,Yelahanka,Yelahanka,3,Attur,Near Sabhram Collage,in Sai Garden,0,,
,,,,,Laout park No 5,,,,
85,Yelahanka,Yelahanka,3,Attur,"3rd Cross, Industriel area in",,,1300,
